symbol,2025-12-15
CASTROLIND,0.0
BIRLANU,0.036162005785915434
CAMS,0.5062294344292263
ABBOTINDIA,0.5778870406436576
HGS,1.3254786450662739
BAJFINANCE,1.8045197740113001
JUBLFOOD,2.6843357118586786
CROMPTON,2.7166882276843514
PETRONET,3.0082041932543913
JINDALPOLY,3.019613376605048
GULFPETRO,3.7104622871046615
HDFCBANK,4.772033663183207
ARE&M,4.888613861386191
ASPINWALL,5.050505050505056
TMPV,5.095108695652172
JINDALSAW,5.099778270509977
WHIRLPOOL,5.409958816922496
PCBL,5.484896661367234
IRFC,5.916829472509081
TATACHEM,6.451612903225806
RVNL,8.168795973673989
GREAVESCOT,8.842766198657005
WSTCSTPAPR,10.758941552776971
PPL,11.078359125521985
PNBGILTS,12.38374938815468
BASML,13.793103448275865
ITC,15.504682622268462
AARTIIND,19.408974826705595
COSMOFIRST,23.76604654355736
STOVEKRAFT,24.764833574529685
MAITHANALL,25.20833333333333
GNFC,25.521305530371702
RITES,27.120021674342997
OFSS,27.61498554350279
NATCOPHARM,27.701169488566947
IFCI,28.78228782287822
DMART,29.58220787876662
BALKRISIND,30.012453300124502
COCHINSHIP,31.564851422012495
TCS,31.790912895874968
BALMLAWRIE,33.552707539545096
GENUSPOWER,34.1470337780301
TTKPRESTIG,34.561891515994404
NTPC,35.4354354354354
GAIL,35.57118499573747
JPPOWER,35.77464788732394
PTC,38.6259541984733
GLAXO,39.47798827858798
TITAGARH,39.622314622314626
ONGC,41.129673826571164
EXIDEIND,41.812400635930025
HITECHGEAR,42.626292036686564
MOIL,43.511818620357005
ZYDUSLIFE,44.07530454042084
CIPLA,44.2093940480459
DABUR,45.21224086870679
INFY,46.14455184534269
RUBFILA,47.88378766140604
ICIL,48.041089345437165
ABSLAMC,51.37165251469627
GULFOILLUB,52.43183492999264
MOTILALOFS,52.90592599638544
WIPRO,53.31400966183578
SMALLCAP,55.566406250000036
COALINDIA,56.1224489795918
ICICIBANK,56.62565905096666
AMBUJACEM,56.876606683804674
METROPOLIS,57.58588424007489
ITIETF,61.93433895297249
CHOLAHLDNG,62.51141231828077
IPCALAB,63.02829841969866
HDFCNIFIT,64.35826408125577
EIDPARRY,65.57049891540129
MONTECARLO,67.04288939051918
TECHM,67.88157452057871
DATAPATTNS,67.89793714837757
KTKBANK,69.62025316455697
AUROPHARMA,69.65195246179965
DRREDDY,70.12372634643371
SAIL,72.2371364653244
INDIANB,73.40838023764854
CARTRADE,74.51714885364363
GLENMARK,74.56080189923503
CEATLTD,75.05076274275004
BAJAJ-AUTO,76.79503456058683
TEGA,77.27164321488193
ASIANPAINT,77.48684839789573
ICICIPRULI,77.84347826086955
TATASTEEL,78.76228236510947
IRBINVIT,80.61737257717155
TMB,82.59187620889749
PGINVIT,83.10564663023682
TATACONSUM,84.3999221941257
HCLTECH,84.7184253690541
HEROMOTOCO,86.31623153916148
PHARMABEES,89.41176470588226
SGBN28VIII,90.46047754503923
GESHIP,91.32931380993395
MANAPPURAM,91.6490038151759
IOC,92.336072446755
TITAN,92.92923954975426
MIDCAPETF,93.37474120082815
SOUTHBANK,93.45434543454346
CHOLAFIN,94.87623762376236
JSL,95.2293270840308
HINDALCO,95.49323985978968
NIFTYETF,96.03918228279383
ADANIPORTS,96.25091632631687
TVSMOTOR,97.82729034043733
MARUTI,97.9392363618855
LGBBROSLTD,98.58776844070962
GOLDBEES,100.0
HINDZINC,100.0
IDFCFIRSTB,100.0
GOLDETF,100.0
GOLDIETF,100.0
MUTHOOTFIN,100.0
LT,100.0
SETFGOLD,100.0
VEDL,100.0
HIL,
TATAMOTORS,
